round,client_id,epoch,train_loss,val_loss,der,acc
10,1,3,9.087907791137695,,0.3603833865814697,0.6396166134185304
10,1,4,39.69222640991211,,0.4600638977635783,0.5399361022364217
10,1,5,881.5745849609375,,0.3603833865814696,0.6396166134185304
11,1,1,2.2201948165893555,,0.4134185303514375,0.5865814696485623
11,1,2,79.69788360595703,,0.3603833865814697,0.6396166134185304
11,1,3,4.666827201843262,,0.36932907348242816,0.6306709265175718
11,1,4,117.2642593383789,,0.2575079872204476,0.25750798722044727
11,1,5,39.2859992980957,,0.4587859424920128,0.5412140575079872
12,1,1,1.8567348718643188,,0.026009582477754964,0.973990417522245
12,1,2,98.7921142578125,,0.026009582477754895,0.973990417522245
12,1,3,0.5786766409873962,,0.04859685147159451,0.9514031485284052
12,1,4,0.24955642223358154,,0.026009582477754964,0.973990417522245
12,1,5,0.31743964552879333,,0.026009582477754895,0.973990417522245
13,1,1,2.088658332824707,,0.3978021978022027,0.323010323010323
13,1,2,14.188760757446289,,0.40019980019980017,0.333000333000333
13,1,3,43.178985595703125,,0.39940059940060824,0.3106893106893107
13,1,4,316.2308654785156,,0.4000000000000054,0.3333333333333333
13,1,5,22.741315841674805,,0.4000000000000054,0.3333333333333333
14,1,1,2.1502275466918945,,0.3998001998002052,0.3336663336663337
14,1,2,25.72779083251953,,0.3982017982018037,0.33433233433233434
14,1,3,5.930595874786377,,0.23416583416583955,0.6097236097236097
14,1,4,17.635313034057617,,0.38141858141859003,0.3643023643023643
14,1,5,20.325714111328125,,0.4185814185814281,0.30236430236430234
15,1,1,2.0483124256134033,,0.3603833865814696,0.6396166134185304
15,1,2,93.30916595458984,,0.3603833865814697,0.6396166134185304
15,1,3,22.99150848388672,,0.33865814696485574,0.3348242811501597
15,1,4,21.985427856445312,,0.3603833865814696,0.6396166134185304
15,1,5,994.0062255859375,,0.3603833865814697,0.6396166134185304
16,1,1,1.7447655200958252,,0.3603833865814697,0.6396166134185304
16,1,2,124.77354431152344,,0.3603833865814697,0.6396166134185304
16,1,3,73.08168029785156,,0.7092651757188498,0.29073482428115016
16,1,4,48.95283889770508,,0.3603833865814696,0.6396166134185304
16,1,5,36.56974792480469,,0.3603833865814696,0.6396166134185304
17,1,1,1.4512430429458618,,0.07392197125256639,0.9260780287474333
17,1,2,44.495750427246094,,0.026009582477755016,0.973990417522245
17,1,3,3.542574644088745,,0.5188227241615333,0.4811772758384668
17,1,4,17.822906494140625,,0.026009582477755016,0.973990417522245
17,1,5,63.805484771728516,,0.026009582477754964,0.973990417522245
18,1,1,1.6639405488967896,,0.4000000000000054,0.3333333333333333
18,1,2,11.90092945098877,,0.3842157842157892,0.3596403596403596
18,1,3,11.04028034210205,,0.4000000000000054,0.3333333333333333
18,1,4,4.0709147453308105,,0.3134865134865176,0.40326340326340326
18,1,5,18.918365478515625,,0.3998001998001998,0.3333333333333333
19,1,1,1.7643725872039795,,0.3603833865814697,0.6396166134185304
19,1,2,47.69281768798828,,0.5182108626198084,0.4817891373801917
19,1,3,6.841549873352051,,0.3699680511182108,0.6300319488817892
19,1,4,6.627806186676025,,0.3948881789137382,0.394888178913738
19,1,5,141.47515869140625,,0.3603833865814697,0.6396166134185304
20,1,1,1.6584035158157349,,0.396796796796805,0.33745405947210155
20,1,2,1.9889246225357056,,0.3797797797797889,0.36618777146675574
20,1,3,1709.789306640625,,0.39719719719720237,0.3160708319411961
20,1,4,17.266746520996094,,0.40080080080080077,0.3307718008686936
20,1,5,8.352274894714355,,0.40080080080080077,0.331105913798864
1,2,1,3.4698593616485596,,0.46886886886886736,0.0006682258603407952
1,2,2,361.56939697265625,,0.40760760760760745,0.32241897761443367
1,2,3,1049.6287841796875,,0.4060060060060116,0.311727363848981
1,2,4,29489.943359375,,0.414214214214214,0.2569328433010358
1,2,5,19546.01171875,,0.39859859859859864,0.09488807216839291
2,2,1,14.919025421142578,,0.3725923586990923,0.4533702677746999
2,2,2,233.07858276367188,,0.47079254815283456,0.4247460757156048
2,2,3,2810.44921875,,0.4196400378907549,0.4621421975992613
2,2,4,5104.52783203125,,0.36785601515629934,0.4621421975992613
2,2,5,31583.859375,,0.3839595832017682,0.4404432132963989
3,2,1,2.2123658657073975,,0.5541541541541609,0.19077848312729703
3,2,2,795.2626953125,,0.38078078078078564,0.36451720681590377
3,2,3,301.5298767089844,,0.4264264264264357,0.2525893752088206
3,2,4,223.11192321777344,,0.39919919919919894,0.3337788172402272
3,2,5,3432.049072265625,,0.3917917917917922,0.3057133311059138
4,2,1,3.03503155708313,,0.3941941941942026,0.32676244570664886
4,2,2,22.344287872314453,,0.2698698698698734,0.4817908453057133
4,2,3,156.9454803466797,,0.3987987987988078,0.334447043100568
4,2,4,5953.3251953125,,0.4006006006006096,0.331105913798864
4,2,5,364.01080322265625,,0.39879879879880425,0.32709655863681925
5,2,1,2.0049021244049072,,0.3979979979979979,0.3357834948212496
5,2,2,1922.8072509765625,,0.40080080080080616,0.331105913798864
